title,ingredients,method,url
Quinoa Power Pot,"['Quinoa (see method)', '400–500ml any milk', '500ml hot water', '2 teaspoons coconut oil', 'or butter', '1 teaspoon vanilla extract', '2 teaspoons maple syrup or', 'raw honey (optional)']","['If using 200g quinoa flakes:', 'Quinoa flakes: Toast the quinoa flakes in a dry pan on a medium heat for 1 minute, stirring frequently to prevent them from burning. This reduces any bitterness and gives a nice nutty flavour. Add 400ml of milk and all the other ingredients, give everything a stir and bring to a medium simmer. Cook for 4 minutes, then add your choice of flavourings.', 'If using 250g cooked quinoa:', 'Cooked quinoa: Place the cooked quinoa in a saucepan, add 400ml of milk and all the other ingredients. Bring to a medium simmer and cook for 4 minutes, then add your choice of flavourings.', 'If using 100g uncooked quinoa, rinsed well (ideally soaked first):', 'Uncooked quinoa: Place the uncooked quinoa in a saucepan, add 500ml of milk and all the other ingredients. Bring to a medium simmer and cook, covered, until the liquid has been absorbed and the quinoa is tender, about 15 minutes (or 12 minutes if the quinoa has been soaked), then add your choice of flavourings.']",https://www.wwf.org.uk/recipes/quinoa-power-pot
Banana & spelt loaf cake,"['260g Spelt Organic Flour', '40g Ground Almonds', '20g Baking Powder', '100g Pitted Dates', '275g Banana (overripe if possible)', '80ml Rapeseed Oil', '80ml Almond Milk', '115g Soft Light Brown Sugar', '1 Med/Large Banana for decoration']",[],https://www.wwf.org.uk/recipes/banana-spelt-loaf-cake
Carrot & Chickpea Burgers,"['3 medium carrots, grated', '1x 400g tin of chickpeas, drained', '1 medium egg', 'salt & pepper, to taste', '2 tbsp dried mixed herbs', '100g breadcrumbs or porridge oats', 'Your choice of extras to serve: burger buns, sliced tomatoes, sliced avocados, lettuce, mayonnaise or hummus or pesto, pickles, sliced cheese, or your own favourites']","['To make it extra fun for the kids, choose a selection of favourite burger fillings you are happy for them to eat and lay them out in bowls and plates on the table to make it a “build-your-own” burger dinner. They are more likely to eat the veg they choose to put in it themselves!']",https://www.wwf.org.uk/recipes/carrot-chickpea-burgers
Spinach & Chickpea Falafel Wrap with Beetroot,"['8 large or 12 small spinach falafel homemade\xa0or shop bought', '150g Fresh Curly Kale', '100g White Cabbage', '100g Beetroot\xa0hummus', '60g Red Onions', '60g Carrot', '50g Baby spinach leaves', '50g Watercress', '1/2tsp Creamed Horseradish', '4 each Khobez bread or any flat bread', '5ml Apple Cider Vinegar', 'Crushed Garlic Clove', '1tsp Caster Sugar', '80ml Soy Yoghurt', 'Pinch Chilli Flakes', 'Salt and Pepper']","['Garnish - Oven baked kale crisps', 'Basic Prep', 'Method']",https://www.wwf.org.uk/recipes/spinach-chickpea-falafel-wrap
Main navigation,"['350g frozen broccoli florets (or 1 head fresh - cauliflower works great here, too, as does a mix of the two)', '250g frozen chopped spinach or frozen whole baby leaf spinach', '225g frozen peas', '1 large courgette, grated', '3 tablespoons unsalted butter', '3 tablespoons plain flour', '400ml milk', '400ml stock (or more milk)', '1/2 teaspoon mustard powder (or 1 teaspoon mustard)', 'small pinch nutmeg or allspice (about 1/4 teaspoon)', 'salt & pepper, to taste', 'large handful of grated cheese (about 50g)', '100g wholemeal flour', '200g oats', 'pinch sea salt (about 1/4 teaspoon)', '110g unsalted butter, room temperature and cubed', 'handful of chopped nuts (pecans, walnuts, hazelnuts or almonds all work well)', 'handful of seeds (sunflower and pumpkin work really well)', 'a little more grated cheese to top, optional']","['Preheat oven to 190C/170C fan/gas 5.', 'Next, make the white sauce...', 'Finally, make the crumble...']",https://www.wwf.org.uk/recipes/green-veg-crumble
Scottish Minestrone Soup,"['2 onions/leeks*', '2 cloves garlic', '250 grams parsnip/celeriac/celery*', '75 grams barley/other grains/red lentils*', '1 litre water or light stock (water from cooked meats is perfect)', '1 tbsp tomato puree', 'Salt, pepper, a bay leaf (if you have it)', 'You can add 100-200 g of sausage, bacon, ham or even the last part of a parmesan cheese that is too hard to grate for added umami flavour*', 'Fresh herbs such as parsley, thyme, tarragon', '1 dash of wine or apple cider vinegar, for acidity', '100 g spinach/kale/brussels sprouts*']",[],https://www.wwf.org.uk/scottish-minestrone-soup-recipe
Quorn Meat Toad in the Hole with Root Vegetables,[],[],https://www.wwf.org.uk/recipes/quorn-toad-in-the-hole
Spanish chickpea & almond stew,"['3 tablespoons chopped or flaked almonds', '1½ \xa0tablespoons butter or ghee', '1 large onion, finely chopped', '1 large red or orange pepper, deseeded and chopped', '3 garlic cloves, finely chopped', '1 large handful of fresh', 'parsley, stalks finely chopped and leaves roughly chopped', '1 tablespoon tomato purée', '2 x 400g tins of chopped tomatoes', '2 x 400g tins of chickpeas, drained and rinsed', '100ml stock/bone broth', '(p. 278) or water (optional)', '250g spinach', '1 tablespoon lemon juice Sea salt and black pepper Extra-virgin olive oil, to serve', '2 teaspoons ground cumin', '2 teaspoons smoked paprika', '¼ teaspoon cayenne pepper']","['1. In a large, deep frying pan, toast the \xa0almonds over \xa0a medium heat for just \xa0under a minute until golden, then set aside. Melt the \xa0butter in the \xa0hot \xa0pan, add \xa0the \xa0onion and pepper and fry for 6 minutes until starting to soften.', '2. Add the \xa0garlic, spices and parsley stalks and fry for 1 minute, stirring constantly to prevent them from burning, then add \xa0the tomato purée and cook for another 30 seconds.', '3. Tip the \xa0tinned tomatoes into the \xa0pan, turn up the \xa0heat to a medium simmer and cook for 15 minutes, uncovered, to thicken and reduce. Add the \xa0chickpeas and cook for another 3 minutes with a lid on. If you want the \xa0stew to be more soup-like, add \xa0the \xa0stock.', '4. Turn up the \xa0heat, drop in the \xa0spinach and cook for 1 minute, covered with the \xa0lid, then add \xa0the \xa0lemon juice \xa0and season with salt and pepper.', '5. Serve each \xa0bowl \xa0with a good drizzle of olive oil and with the parsley leaves and toasted almonds scattered over.']",https://www.wwf.org.uk/recipes/chickpea-almond-stew
Main navigation,"['600g sweet potato, cut into small cubes', '1 red onion, finely chopped', '2 garlic cloves, crushed', '½ tbsp olive oil', '1 ½ tsp smoked sweet paprika', '1 tbsp ground cumin', '150g chestnut mushrooms, sliced', '1 tin (400g) of adzuki beans, drained and rinsed', '1 tin (400g) of red kidney beans, drained', '1 tin (400g) of chopped tomatoes', '1 tbsp tomato purée', '1 Knorr Vegetable Stock Pot', 'Green vegetables (serving tip)']",[],https://www.wwf.org.uk/recipes/shepherds-pie
Hearty Cowpea Lentil Stew,"['1 onion', '150g heirloom carrots (red, purple)', '1 tbsp vegetable oil', '80g red lentils, raw', '400ml water', '1 pack (400g) sieved tomatoes', '1 pouch Knorr Thick Vegetable Soup', '1 tin (400g) of cowpeas\xa0 (black eyed beans)', '1 tbsp chopped parsley', '1 tbsp roasted sesame seeds']",[],https://www.wwf.org.uk/recipes/lentil-stew
